iter	Passed	Remaining
0	1	151
1	2	143
2	4	138
3	5	127
4	6	127
5	8	125
6	9	124
7	10	124
8	12	122
9	13	121
10	14	120
11	16	119
12	17	117
13	18	115
14	20	114
15	21	112
16	22	111
17	24	110
18	25	108
19	26	107
20	28	106
21	29	105
22	31	104
23	32	102
24	33	101
25	35	99
26	36	98
27	37	96
28	39	95
29	40	94
30	42	93
31	43	92
32	44	91
33	46	89
34	47	88
35	48	86
36	50	85
37	51	84
38	52	82
39	54	81
40	55	80
41	56	77
42	57	76
43	58	75
44	60	73
45	61	72
46	62	71
47	64	69
48	65	68
49	67	67
50	68	65
51	70	64
52	71	63
53	72	61
54	73	60
55	74	58
56	76	57
57	77	56
58	79	54
59	80	53
60	81	52
61	83	50
62	84	49
63	85	48
64	87	46
65	88	45
66	89	44
67	91	43
68	93	41
69	94	40
70	95	39
71	97	37
72	98	36
73	99	35
74	101	33
75	102	32
76	103	31
77	106	30
78	108	28
79	109	27
80	111	26
81	112	24
82	113	23
83	115	21
84	116	20
85	117	19
86	118	17
87	120	16
88	121	15
89	122	13
90	124	12
91	125	10
92	126	9
93	128	8
94	129	6
95	131	5
96	132	4
97	133	2
98	135	1
99	136	0
